Algorithm: Betweenness Centrality
Vertex Centrality
0 0.00
1 1.88
2 16.65
3 192.00
4 193.58
5 215.30
6 372.00
7 373.10
8 398.95
9 540.00
10 540.42
11 568.60
12 696.00
13 695.53
14 724.75
15 840.00
16 838.45
17 867.70
18 972.00
19 969.15
20 997.65
21 1092.00
22 1087.62
23 1114.75
24 1200.00
25 1193.87
26 1219.09
27 1296.00
28 1287.87
29 1310.77
30 1380.00
31 1369.63
32 1389.84
33 1452.00
34 1439.12
35 1456.37
36 1512.00
37 1496.34
38 1510.41
39 1560.00
40 1541.28
41 1551.97
42 1596.00
43 1573.92
44 1581.12
45 1620.00
46 1594.24
47 1597.86
48 1632.00
49 1602.22
50 1602.22
51 1632.00
52 1597.86
53 1594.24
54 1620.00
55 1581.12
56 1573.92
57 1596.00
58 1551.97
59 1541.28
60 1560.00
61 1510.41
62 1496.34
63 1512.00
64 1456.37
65 1439.12
66 1452.00
67 1389.84
68 1369.63
69 1380.00
70 1310.77
71 1287.87
72 1296.00
73 1219.09
74 1193.87
75 1200.00
76 1114.75
77 1087.62
78 1092.00
79 997.65
80 969.15
81 972.00
82 867.70
83 838.45
84 840.00
85 724.75
86 695.53
87 696.00
88 568.60
89 540.42
90 540.00
91 398.95
92 373.10
93 372.00
94 215.30
95 193.58
96 192.00
97 16.65
98 1.88
99 0.00
Execution time: 0.282 ms
